"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"227","Male","Married",45,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","Internal","none","1 vehicle","1996","Collision","Japan"
"229","Male","Married",60,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"230","Male","Married",47,"Third Party","Sedan","30000 to 39000",0,"400","none","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"231","Male","Married",31,"Policy Holder","Sedan","30000 to 39000",1,"700","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"232","Male","Married",43,"Policy Holder","Sedan","40000 to 59000",1,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"233","Male","Married",52,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"234","Male","Married",53,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"238","Male","Married",34,"Policy Holder","Sedan","40000 to 59000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"239","Male","Married",43,"Policy Holder","Sport","40000 to 59000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1996","Liability","Japan"
"240","Male","Married",26,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","none","7 years","No","No","External","none","2 vehicles","1995","All Perils","Japan"
"241","Male","Married",31,"Policy Holder","Utility","more than 69000",0,"500","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"242","Male","Married",29,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"243","Male","Married",51,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"244","Male","Married",41,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"245","Male","Married",43,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","3 to 5","1 vehicle","1994","All Perils","Japan"
"252","Male","Married",33,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","2 vehicles","1994","All Perils","Japan"
"253","Male","Married",41,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","Yes","No","External","none","1 vehicle","1995","Collision","Japan"
"255","Male","Married",51,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"256","Male","Married",51,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"257","Male","Single",37,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"258","Male","Married",33,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","Collision","Japan"
"259","Male","Married",51,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1996","Collision","Japan"
"260","Male","Single",38,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","2 vehicles","1996","All Perils","Japan"
"261","Male","Married",32,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"263","Male","Married",40,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1996","Liability","Japan"
"264","Male","Single",48,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1996","All Perils","Japan"
"265","Male","Single",49,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","Collision","Japan"
"267","Female","Single",30,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"268","Male","Single",30,"Policy Holder","Sedan","30000 to 39000",0,"500","more than 30","more than 30","2 to 4","6 years","No","No","External","none","3 to 4","1995","All Perils","Japan"
"272","Male","Married",36,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"273","Male","Married",58,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"274","Male","Single",21,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"275","Male","Married",30,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"276","Male","Married",55,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"277","Male","Married",71,"Policy Holder","Sedan","30000 to 39000",0,"500","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"278","Male","Single",41,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"279","Male","Single",43,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","Collision","Japan"
"281","Male","Married",59,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"282","Male","Married",37,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","Japan"
"283","Male","Single",61,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","All Perils","Japan"
"284","Male","Married",47,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","2 vehicles","1994","Collision","Japan"
"285","Male","Single",18,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","3 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"287","Male","Married",38,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","Collision","Japan"
"288","Male","Married",74,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"289","Male","Married",37,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"291","Male","Single",27,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","2 vehicles","1995","Collision","Japan"
"292","Male","Single",43,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1996","Liability","Japan"
"294","Male","Married",47,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","Yes","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"295","Male","Single",51,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"297","Male","Married",39,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","Collision","Japan"
"299","Male","Married",28,"Policy Holder","Sedan","30000 to 39000",1,"500","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1995","Collision","Japan"
"300","Male","Married",31,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"303","Male","Married",46,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1996","Liability","Japan"
"309","Male","Married",47,"Third Party","Sedan","20000 to 29000",0,"700","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","Collision","Japan"
"310","Male","Married",30,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"311","Male","Married",36,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"312","Male","Married",53,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","2 vehicles","1994","Liability","Japan"
"313","Male","Married",54,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","3 to 5","1 vehicle","1994","All Perils","Japan"
"315","Male","Single",35,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"316","Male","Married",55,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1995","Collision","Japan"
"317","Male","Married",49,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"319","Male","Single",26,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"320","Male","Married",72,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"323","Male","Married",34,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"324","Male","Married",37,"Policy Holder","Utility","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"326","Male","Married",28,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"328","Male","Single",41,"Policy Holder","Utility","more than 69000",1,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
